Contract  ,Settle  ,Change  ,%  ,Open  ,High  ,Low  ,Volume  ,O.I.  ,+/- O.I.  
Aug 23  ,633.40  ,+12.80  ,+2.40%  ,626.50  ,639.40  ,620.50  ,"5,942  ","19,433  ",-532  
Oct 23  ,628.20  ,+12.40  ,+2.42%  ,622.00  ,635.80  ,620.00  ,"7,777  ","30,804  ",+250  
Dec 23  ,627.30  ,+14.10  ,+2.50%  ,619.20  ,631.20  ,617.00  ,"2,709  ","18,843  ",+39  
Mar 24  ,623.80  ,+14.90  ,+2.59%  ,614.70  ,626.40  ,613.20  ,"1,109  ","10,205  ",+172  
May 24  ,616.50  ,+13.40  ,+2.59%  ,608.30  ,619.10  ,607.00  ,809  ,"6,211  ",+163  
Aug 24  ,603.00  ,+11.10  ,+1.89%  ,595.00  ,605.30  ,595.00  ,160  ,"2,201  ",-43  
Oct 24  ,589.80  ,+10.30  ,+1.64%  ,585.60  ,589.00  ,585.60  ,5  ,"1,516  ",-43  
Dec 24  ,578.30  ,+9.40  ,+0.90%  ,574.00  ,574.00  ,574.00  ,1  ,"1,283  ",-4  
Total  ,,,,,,,"18,512  ","91,696  ",+2  
White Premiums Last  ,,Change  ,#5 Spreads  ,Last  ,Change  ,,,,
Aug/July  ,130.86  ,-3.18  ,Aug/Oct  ,5.20  ,+0.40  ,,,,
Oct/Oct  ,128.27  ,-0.75  ,Oct/Dec  ,0.90  ,-1.70  ,,,,
Dec/March  ,123.86  ,+0.75  ,Dec/March  ,3.50  ,-0.80  ,,,,
,,,March/May  ,7.30  ,+1.50  ,,,,
